tt,qt,wt,lt,st,ct,yt,dt,pt,et,nt,bt,ot,ht,ut
1994,0.017930390718429164,0.03209887955001264,0.09634999999999999,0.0512,0.051699999999999996,0.03296758913861477,-0.057257573777079226,0.10731294947632454,0.14206655622396086,0.09499370886541125,-0.011384294946352246,-0.03991316554905006,0.03300024471966867,0.095165567
1995,0.044241021816304474,0.048844161307596855,0.09210000000000002,0.0755,0.06335,0.04117322934161012,0.2519034877261148,0.02551197897187112,0.06720290997247937,0.10233523261612391,0.11224898508715807,0.19748644798269724,0.01343504310326935,0.081022665
1996,0.030443751414723164,0.03873404026500526,0.08789999999999999,0.0757,0.0756,0.03998399266472646,0.062046828129719005,0.09195454908424915,0.1337810007901488,0.16910359154505403,0.09031664574655648,-0.098206399791755,0.010619568827460131,0.080107443
1997,0.0029940142126046996,0.03284727097604864,0.07055,0.0535,0.0646,0.0354286970573093,0.08128615547038523,0.20453516412415376,0.2437050218913367,0.20187397830550108,0.15493950208123822,0.07773394205818548,0.02777956410707567,0.080963095
1998,0.007446050784078532,0.041356104335590324,0.05545,0.053200000000000004,0.05335,0.03721695967409706,0.03326296767212016,-0.01687899594125737,0.02003089445931058,0.1613692592948262,0.10330040282118033,0.2399191437077847,0.08293630432621528,0.07622749
1999,0.010332195237205194,0.03093449757559182,0.06269999999999999,0.0493,0.051250000000000004,0.03359411081403537,-0.0014625968123070175,0.10277330085745595,0.13810788459417905,0.14508650255065636,0.03230519092186278,-0.021569900521423754,0.05667672880884999,0.064760354
2000,0.03037109787629877,0.040068203477129485,0.061829999999999996,0.0623,0.0558,0.03151770083602138,0.06648169256737549,0.13132698964634257,0.1649481412140079,0.11602171203332802,0.059872368768485014,0.13026130016705323,0.09239521993939269,0.059488316
2001,0.05945081435374833,0.04970044645032191,0.060599999999999994,0.049699999999999994,0.055999999999999994,0.03318923604054162,0.1052367467928019,0.0527201842084906,0.08678099468197185,-0.22885140524982067,0.07159683170161583,0.12766647233588957,0.07894544288753008,0.067351131
2002,0.027797951361031723,0.0492088077702994,0.06075,0.0507,0.050199999999999995,0.03525818675026939,-0.02039608235652146,-0.08190860101433874,-0.048041535703566215,-0.16816521395900066,0.06023384663402952,0.030929117906578367,0.17297225816636633,0.063229471
2003,0.025774622688615155,0.05946813699043188,0.050179999999999995,0.0467,0.0487,0.04459815391192088,0.17910182071302938,-0.06059395487994348,-0.01729833274197687,-0.027150030673504678,0.0933474955282534,-0.021663104135421787,0.16636377135534386,0.059003182
