Age, Male , Female 
0,0.995879,0.996648
1,0.999654,0.999731
2,0.999793,0.999830
3,0.999867,0.999892
4,0.999873,0.999894
5,0.999882,0.999899
6,0.999890,0.999906
7,0.999896,0.999913
8,0.999903,0.999921
9,0.999908,0.999927
10,0.999911,0.999931
11,0.999910,0.999930
12,0.999901,0.999923
13,0.999880,0.999907
14,0.999844,0.999880
15,0.999785,0.999838
16,0.999699,0.999778
17,0.999539,0.999750
18,0.999426,0.999735
19,0.999386,0.999735
20,0.999386,0.999737
21,0.999388,0.999739
22,0.999383,0.999740
23,0.999372,0.999740
24,0.999356,0.999737
25,0.999334,0.999732
26,0.999309,0.999724
27,0.999279,0.999712
28,0.999246,0.999696
29,0.999211,0.999675
30,0.999174,0.999651
31,0.999135,0.999624
32,0.999095,0.999595
33,0.999055,0.999562
34,0.999013,0.999526
35,0.998969,0.999487
36,0.998921,0.999444
37,0.998867,0.999396
38,0.998807,0.999343
39,0.998739,0.999286
40,0.998662,0.999223
41,0.998576,0.999154
42,0.998477,0.999079
43,0.998366,0.998997
44,0.998242,0.998908
45,0.998102,0.998812
46,0.997945,0.998708
47,0.997771,0.998596
48,0.997579,0.998476
49,0.997366,0.998347
50,0.997132,0.998208
51,0.996875,0.998060
52,0.996595,0.997902
53,0.996290,0.997734
54,0.995961,0.997554
55,0.995619,0.997363
56,0.995258,0.997153
57,0.994866,0.996916
58,0.994432,0.996646
59,0.993947,0.996336
60,0.993400,0.995992
61,0.992780,0.995622
62,0.992079,0.995229
63,0.991296,0.994804
64,0.990434,0.994332
65,0.989495,0.993797
66,0.988481,0.993186
67,0.987386,0.992485
68,0.986178,0.991679
69,0.984814,0.990754
70,0.983255,0.989695
71,0.981460,0.988490
72,0.979388,0.987123
73,0.977002,0.985582
74,0.974262,0.983852
75,0.971130,0.981920
76,0.967570,0.979758
77,0.963545,0.977274
78,0.959013,0.974362
79,0.953896,0.970918
80,0.948113,0.966840
81,0.941583,0.962030
82,0.934233,0.956392
83,0.925991,0.949834
84,0.916793,0.942272
85,0.906581,0.933625
86,0.895302,0.923821
87,0.882914,0.912796
88,0.869381,0.900496
89,0.854677,0.886875
90,0.838789,0.871902
91,0.821802,0.855556
92,0.804170,0.837909
93,0.786395,0.819351
94,0.768942,0.800324
95,0.752235,0.781234
96,0.736659,0.762454
97,0.722567,0.744323
98,0.710284,0.727147
99,0.700115,0.711202
100,0.687451,0.696737
101,0.675387,0.681203
102,0.663749,0.666181
103,0.652146,0.651594
104,0.639579,0.637453
105,0.627525,0.623764
106,0.615877,0.610529
107,0.604637,0.597752
108,0.593800,0.585433
109,0.583359,0.573574
