"Date","Price","Open","High","Low","Vol.","Change %"
"01/09/2024","11.853","10.942","13.986","10.612","0.00K","8.33%"
"01/08/2024","10.942","12.328","19.219","10.542","","-11.24%"
"01/07/2024","12.328","11.568","12.936","10.556","","6.57%"
"01/06/2024","11.568","11.543","12.299","7.774","0.02K","0.27%"
"01/05/2024","11.537","11.828","13.098","7.627","0.02K","-2.46%"
"01/04/2024","11.828","10.189","16.539","8.354","","20.78%"
"01/03/2024","9.793","10.562","13.189","7.701","","-10.53%"
"01/02/2024","10.946","11.123","13.259","10.420","","-1.59%"
"01/01/2024","11.123","11.068","12.232","9.972","","-0.98%"
"01/12/2023","11.233","9.671","11.458","7.511","","16.15%"
"01/11/2023","9.671","13.817","14.225","9.506","","-30.65%"
"01/10/2023","13.945","11.788","16.673","11.596","","19.68%"
"01/09/2023","11.652","10.842","14.215","10.597","","6.08%"
"01/08/2023","10.984","10.822","13.417","9.794","","-6.92%"
"01/07/2023","11.801","10.885","15.597","9.861","","9.45%"
"01/06/2023","10.782","11.640","14.125","9.876","","-14.76%"
"01/05/2023","12.649","11.088","14.241","10.431","","8.23%"
"01/04/2023","11.687","11.989","14.161","8.769","","-10.45%"
"01/03/2023","13.051","12.827","17.852","8.918","","1.75%"
"01/02/2023","12.827","12.827","14.877","11.660","","0.00%"
"01/01/2023","12.827","12.381","14.567","11.342","","3.60%"
"01/12/2022","12.381","12.820","14.418","10.941","","-3.42%"
"01/11/2022","12.820","15.669","16.845","11.767","","-18.94%"
"01/10/2022","15.816","20.879","22.421","15.653","","-24.25%"
"01/09/2022","20.879","15.150","21.641","13.517","","37.82%"
"01/08/2022","15.150","14.215","16.771","11.308","","-0.98%"
"01/07/2022","15.300","19.180","19.721","13.512","","-20.23%"
"01/06/2022","19.180","14.876","27.006","14.071","","24.58%"
"01/05/2022","15.396","14.872","23.167","14.088","","9.53%"
"01/04/2022","14.056","11.818","18.194","10.772","","16.17%"
"01/03/2022","12.100","17.382","22.226","10.670","","-33.47%"
"01/02/2022","18.186","18.762","20.786","12.086","","-2.76%"
"01/01/2022","18.703","11.155","24.338","10.164","","76.00%"
"01/12/2021","10.627","13.045","16.601","9.659","","-26.08%"
"01/11/2021","14.377","14.536","15.980","10.880","","10.77%"
"01/10/2021","12.979","15.052","16.707","10.176","","4.18%"
"01/09/2021","12.458","11.504","16.928","9.844","","16.31%"
"01/08/2021","10.711","12.441","14.421","10.341","","-14.09%"
"01/07/2021","12.467","10.940","18.174","10.327","","1.85%"
"01/06/2021","12.240","11.538","14.368","10.532","","-2.42%"
"01/05/2021","12.543","11.360","15.970","10.536","","8.18%"
"01/04/2021","11.595","11.487","14.427","8.522","","-3.82%"
"01/03/2021","12.056","17.987","18.818","11.046","","-31.64%"
"01/02/2021","17.637","15.900","18.992","13.168","","10.92%"
"01/01/2021","15.900","14.546","18.130","12.869","","14.39%"
"01/12/2020","13.900","14.636","18.105","10.100","","-16.00%"
"01/11/2020","16.547","23.571","26.288","9.135","","-31.45%"
"01/10/2020","24.138","20.374","24.899","16.533","","12.44%"
"01/09/2020","21.468","19.611","26.146","17.426","","12.95%"
"01/08/2020","19.006","20.020","21.909","16.887","","-10.42%"
"01/07/2020","21.216","19.583","25.218","15.764","","6.80%"
"01/06/2020","19.866","21.198","29.783","17.344","","-6.28%"
"01/05/2020","21.198","26.001","30.349","18.670","","-18.47%"
"01/04/2020","26.001","35.629","43.158","19.406","","-27.02%"
"01/03/2020","35.629","25.314","55.826","20.252","","40.75%"
"01/02/2020","25.314","16.010","25.753","11.622","","83.87%"
"01/01/2020","13.767","12.289","15.150","10.756","","10.32%"
"01/12/2019","12.479","11.442","14.587","10.440","","10.81%"
"01/11/2019","11.262","12.138","12.253","10.449","","-6.99%"
"01/10/2019","12.108","13.052","16.660","11.175","","-8.01%"
"01/09/2019","13.163","14.695","14.766","11.512","","-8.28%"
"01/08/2019","14.352","12.615","20.337","11.972","","16.45%"
"01/07/2019","12.325","12.917","12.917","10.057","","-5.50%"
"01/06/2019","13.043","15.902","16.126","10.588","","-12.55%"
"01/05/2019","14.914","12.121","15.459","11.587","","21.12%"
"01/04/2019","12.313","11.889","12.540","10.255","","3.78%"
"01/03/2019","11.865","11.732","13.865","11.131","","-0.41%"
